"","word","n","nusers"
"1","bad",5,1
"2","data",4,1
"3","cohen",3,1
"4","comments",3,1
"5","feel",3,1
"6","kids",3,1
"7","mothers",3,1
"8","ozzy",3,1
"9","read",3,1
"10","age",2,1
"11","apples",2,1
"12","assignment",2,1
"13","baby",2,1
"14","campaign",2,1
"15","contract",2,1
"16","en.m.wikipedia.org",2,1
"17","fuck",2,1
"18","hard",2,1
"19","income",2,1
"20","job",2,1
"21","median",2,1
"22","middle",2,1
"23","minutes",2,1
"24","money",2,2
"25","people",2,1
"26","personally",2,1
"27","poor",2,1
"28","pretty",2,1
"29","random",2,1
"30","run",2,1
"31","runner",2,1
"32","situation",2,1
"33","social",2,1
"34","takes",2,1
"35","time",2,1
"36","unemployed",2,1
"37","wait",2,1
"38","wiki",2,1
"39","account",1,1
"40","acknowledge",1,1
"41","address",1,1
"42","advanced",1,1
"43","agree",1,1
"44","allegations",1,1
"45","american",1,1
"46","appearances",1,1
"47","arguing",1,1
"48","arrests",1,1
"49","arrow",1,1
"50","arrow's",1,1
"51","attacked",1,1
"52","attacking",1,1
"53","attrition",1,1
"54","bankruptcy",1,1
"55","battleship",1,1
"56","beavis",1,1
"57","bedrock",1,1
"58","benefit",1,1
"59","bigger",1,1
"60","bipartisan",1,1
"61","birth",1,1
"62","bmw",1,1
"63","boomers",1,1
"64","boost",1,1
"65","born",1,1
"66","bought",1,1
"67","bro",1,1
"68","butthead",1,1
"69","buttons",1,1
"70","buying",1,1
"71","call",1,1
"72","calling",1,1
"73","capital",1,1
"74","casual",1,1
"75","celebrations",1,1
"76","characters",1,1
"77","charge",1,1
"78","chat",1,1
"79","chins",1,1
"80","civilians",1,1
"81","claims",1,1
"82","classic",1,1
"83","clutching",1,1
"84","collected",1,1
"85","comparison",1,1
"86","condorcet_paradox",1,1
"87","container",1,1
"88","convenient",1,1
"89","cool",1,1
"90","counted",1,1
"91","countries",1,1
"92","cover",1,1
"93","crazy",1,1
"94","critics",1,1
"95","cruel",1,1
"96","crystal",1,1
"97","day",1,1
"98","declare",1,1
"99","defense",1,1
"100","democracy",1,1
"101","description",1,1
"102","deserve",1,1
"103","design",1,1
"104","destroying",1,1
"105","devised",1,1
"106","discrimination",1,1
"107","dishes",1,1
"108","dishonored",1,1
"109","dismiss",1,1
"110","dissonance",1,1
"111","distract",1,1
"112","distribution",1,1
"113","dm",1,1
"114","donations",1,1
"115","downer",1,1
"116","drinks",1,1
"117","drugs",1,1
"118","eaten",1,1
"119","edit",1,1
"120","effects",1,1
"121","environment",1,1
"122","ers",1,1
"123","establishing",1,1
"124","everyone's",1,1
"125","eyes",1,1
"126","fantastic",1,1
"127","fat",1,1
"128","feed",1,1
"129","feeling",1,1
"130","fit",1,1
"131","flyer",1,1
"132","fortunado",1,1
"133","found",1,1
"134","fucked",1,1
"135","gauger’s",1,1
"136","gibberish",1,1
"137","googled",1,1
"138","ground",1,1
"139","handful",1,1
"140","hearing",1,1
"141","honestly",1,1
"142","hour",1,1
"143","housing",1,1
"144","i’m",1,1
"145","impeachment",1,1
"146","impossibility",1,1
"147","incomes",1,1
"148","incomprehensible",1,1
"149","inexplicably",1,1
"150","informative",1,1
"151","injectors",1,1
"152","intense",1,1
"153","intrusive",1,1
"154","involves",1,1
"155","irrelevant",1,1
"156","it’s",1,1
"157","joke",1,1
"158","journal",1,1
"159","kinda",1,1
"160","knowing",1,1
"161","laugh",1,1
"162","lead",1,1
"163","lied",1,1
"164","life",1,1
"165","lot",1,1
"166","low",1,1
"167","market",1,1
"168","maternal",1,1
"169","math",1,1
"170","mention",1,1
"171","michael",1,1
"172","minimum",1,1
"173","mistress",1,1
"174","months",1,1
"175","motherhood",1,1
"176","night",1,1
"177","nose",1,1
"178","officers",1,1
"179","op",1,1
"180","pack",1,1
"181","paid",1,1
"182","parent",1,1
"183","perfectly",1,1
"184","phrase",1,1
"185","picture",1,1
"186","player",1,1
"187","pointer",1,1
"188","post",1,1
"189","poster",1,1
"190","practice",1,1
"191","preparing",1,1
"192","prescient",1,1
"193","presidency",1,1
"194","pro",1,1
"195","profit",1,1
"196","project",1,1
"197","promote",1,1
"198","pronouncing",1,1
"199","protect",1,1
"200","public",1,1
"201","queen",1,1
"202","queer",1,1
"203","question",1,1
"204","racism",1,1
"205","ratings",1,1
"206","reactivate",1,1
"207","realize",1,1
"208","reason",1,1
"209","referring",1,1
"210","reminds",1,1
"211","rent",1,1
"212","reports",1,1
"213","requested",1,1
"214","resource",1,1
"215","respect",1,1
"216","rest",1,1
"217","retire",1,1
"218","school",1,1
"219","scott",1,1
"220","selling",1,1
"221","send",1,1
"222","sex",1,1
"223","shit",1,1
"224","silent",1,1
"225","site",1,1
"226","skewed",1,1
"227","sleep",1,1
"228","sleeps",1,1
"229","society",1,1
"230","sought",1,1
"231","sources",1,1
"232","stand",1,1
"233","standing",1,1
"234","starter",1,1
"235","startling",1,1
"236","starts",1,1
"237","straight",1,1
"238","study",1,1
"239","subject",1,1
"240","subjective",1,1
"241","sucks",1,1
"242","suspect",1,1
"243","symbol",1,1
"244","table",1,1
"245","tag",1,1
"246","ten",1,1
"247","term",1,1
"248","theorem",1,1
"249","theorems",1,1
"250","timing",1,1
"251","tomorrow",1,1
"252","tradeoffs",1,1
"253","treatment",1,1
"254","true",1,1
"255","trump’s",1,1
"256","twitter",1,1
"257","ultimately",1,1
"258","unions",1,1
"259","venus",1,1
"260","viable",1,1
"261","victory",1,1
"262","voting",1,1
"263","wage",1,1
"264","wash",1,1
"265","wife",1,1
"266","women",1,1
"267","wow",1,1
"268","wrong",1,1
"269","yeah",1,1
