"","bigram","n.x","nusers.x","nbigrams.x","unique_users.x","n.y","nusers.y","nbigrams.y","unique_users.y","usage.x","usage.y","ratio"
"33","illegal aliens",148,62,5406079,548,2,2,6162567,599,3.16857412623745e-06,2.43811413916101e-09,1299.60040645505
"146","clown world",68,36,5406079,548,1,1,6162567,599,8.61763049353809e-07,1.08360628407156e-09,795.273211332631
"41","russian collusion",143,56,5406079,548,3,3,6162567,599,2.7706036463361e-06,4.33442513628624e-09,639.209020624583
"158","flag laws",66,25,5406079,548,1,1,6162567,599,5.88010666656614e-07,1.08360628407156e-09,542.642355715411
"110","democrat party",79,48,5406079,548,3,3,6162567,599,1.32319277456597e-06,4.33442513628624e-09,305.275263261253
"425","clinton foundation",38,22,5406079,548,1,1,6162567,599,3.02781611935122e-07,1.08360628407156e-09,279.420317495249
"295","trump 2020",47,36,5406079,548,2,2,6162567,599,5.99487338680911e-07,2.43811413916101e-09,245.881572585934
"618","seth rich",30,22,5406079,548,1,1,6162567,599,2.40672563333046e-07,1.08360628407156e-09,222.103329291095
"689","trump russia",28,23,5406079,548,1,1,6162567,599,2.34934227320897e-07,1.08360628407156e-09,216.807737989625
"804","tim pool",25,19,5406079,548,1,1,6162567,599,1.75525572136303e-07,1.08360628407156e-09,161.982792750869
"356","gun free",42,25,5406079,548,2,2,6162567,599,3.77379980093051e-07,2.43811413916101e-09,154.783557517497
"66","honk honk",113,29,5406079,548,5,4,6162567,599,1.15441818597338e-06,8.1270471305367e-09,142.046449027685
"850","speech laws",24,17,5406079,548,1,1,6162567,599,1.51897129733339e-07,1.08360628407156e-09,140.177416803637
"894","ron paul",23,17,5406079,548,1,1,6162567,599,1.45821244544005e-07,1.08360628407156e-09,134.570320131491
"470","illegal alien",36,25,5406079,548,2,2,6162567,599,3.2472230845216e-07,2.43811413916101e-09,133.185851817381
"879","hate white",23,15,5406079,548,1,1,6162567,599,1.29618884039116e-07,1.08360628407156e-09,119.618062339103
"1317","child trafficking",17,17,5406079,548,1,1,6162567,599,1.09365933408004e-07,1.08360628407156e-09,100.927740098618
"1090","nypost.com 2019",20,14,5406079,548,1,1,6162567,599,1.06327990813337e-07,1.08360628407156e-09,98.1241917625456
"646","russia collusion",29,22,5406079,548,2,2,6162567,599,2.32908932257786e-07,2.43811413916101e-09,95.5283136735894
"1332","election interference",17,16,5406079,548,1,1,6162567,599,1.0329004821867e-07,1.08360628407156e-09,95.3206434264729
"65","social justice",115,45,5406079,548,9,6,6162567,599,1.80116240946021e-06,1.89631099712523e-08,94.9824375954546
