"","word","n.x","nusers.x","nwords.x","unique_users.x","n.y","nusers.y","nwords.y","unique_users.y","usage.x","usage.y","ratio"
"1","archive.is",100,22,5591472,548,0,0,6373587,599,7.58127930335788e-07,2.61932422324039e-10,2894.36459835393
"2","podesta",66,36,5591472,548,1,1,6373587,599,8.09039663926999e-07,1.04772968929616e-09,772.183581502301
"3","derangement",50,34,5591472,548,1,1,6373587,599,5.82547720899433e-07,1.04772968929616e-09,556.009557475437
"4","jussie",49,31,5591472,548,1,1,6373587,599,5.22171626576522e-07,1.04772968929616e-09,498.383917064817
"5","smollett",38,27,5591472,548,1,1,6373587,599,3.56382135138476e-07,1.04772968929616e-09,340.147023396738
"6","fisa",68,32,5591472,548,2,2,6373587,599,7.43115496071713e-07,2.35739180091635e-09,315.227827543497
"7","globalist",90,43,5591472,548,3,3,6373587,599,1.30673449550775e-06,4.19091875718463e-09,311.801438113676
"8","tranny",51,36,5591472,548,3,1,6373587,599,6.27911380958268e-07,2.09545937859231e-09,299.653330135221
"9","tds",136,78,5591472,548,7,5,6373587,599,3.53216469652356e-06,1.25727562715539e-08,280.93797574961
"10","dossier",103,41,5591472,548,4,3,6373587,599,1.42552854055391e-06,5.23864844648078e-09,272.11761871739
"11","colluded",66,28,5591472,548,2,2,6373587,599,6.34112169023864e-07,2.35739180091635e-09,268.988875238039
"12","wikileaks",60,30,5591472,548,2,2,6373587,599,6.17141591160127e-07,2.35739180091635e-09,261.789996435992
"13","spez",358,37,5591472,548,9,6,6373587,599,4.45216583109807e-06,1.83352695626827e-08,242.819764164223
"14","hillary's",57,36,5591472,548,3,2,6373587,599,7.0036269414576e-07,3.14318906788847e-09,222.819142921062
"15","snopes",100,46,5591472,548,5,4,6373587,599,1.54921794459922e-06,7.85797266972117e-09,197.152371192224
"16","msm",196,101,5591472,548,14,9,6373587,599,6.5578229152679e-06,3.92898633486059e-08,166.908773825007
"17","drumpf",110,37,5591472,548,7,3,6373587,599,1.37657495056236e-06,8.38183751436925e-09,164.233075170266
"18","cucks",115,51,5591472,548,7,5,6373587,599,1.96858703219349e-06,1.25727562715539e-08,156.57561394453
"19","steele",59,24,5591472,548,3,2,6373587,599,4.8953589991549e-07,3.14318906788847e-09,155.744974082755
"20","crowder",61,31,5591472,548,3,3,6373587,599,6.47492816954888e-07,4.19091875718463e-09,154.499014290093
"21","leftism",36,25,5591472,548,2,2,6373587,599,3.13955690479134e-07,2.35739180091635e-09,133.179257837876
"22","glock",119,37,5591472,548,8,4,6373587,599,1.48818913574309e-06,1.17869590045818e-08,126.257258989754
"23","deportation",57,32,5591472,548,4,3,6373587,599,6.24647808292165e-07,5.23864844648078e-09,119.238352157758
"24","collude",31,22,5591472,548,2,2,6373587,599,2.401989482252e-07,2.35739180091635e-09,101.891823044363
"25","indictments",47,24,5591472,548,4,2,6373587,599,3.91628719932392e-07,3.92898633486059e-09,99.6767834129635
"26","collusion",380,127,5591472,548,35,17,6373587,599,1.59157911780524e-05,1.69732209665977e-07,93.7700110625656
"27","marxist",104,46,5591472,548,14,4,6373587,599,1.61057311072196e-06,1.96449316743029e-08,81.9841543571625
"28","assange",56,22,5591472,548,4,3,6373587,599,4.27854376526138e-07,5.23864844648078e-09,81.6726644089969
"29","btc",161,24,5591472,548,10,5,6373587,599,1.32174692977182e-06,1.72875398733866e-08,76.4566236406254
"30","ilhan",63,37,5591472,548,7,4,6373587,599,7.93700872396314e-07,1.04772968929616e-08,75.7543553938522
"31","sharia",83,38,5591472,548,8,5,6373587,599,1.06914640541543e-06,1.41443508054981e-08,75.5882274214973
"32","weinstein",33,26,5591472,548,3,3,6373587,599,2.9959597074828e-07,4.19091875718463e-09,71.4869431039847
"33","fag",48,41,5591472,548,5,5,6373587,599,6.71643254684052e-07,9.4295672036654e-09,71.2273681471802
"34","leftists",347,119,5591472,548,41,17,6373587,599,1.36286794536472e-05,1.98020911276974e-07,68.8244456899034
"35","kek",94,43,5591472,548,12,5,6373587,599,1.36417337443116e-06,2.0430728941275e-08,66.770665811889
"36","colluding",31,25,5591472,548,3,3,6373587,599,2.71529245819792e-07,4.19091875718463e-09,64.7899092184262
"37","leftist",538,170,5591472,548,59,31,6373587,599,3.00800229062072e-05,5.02910250862155e-07,59.8119104843062
"38","confiscate",28,25,5591472,548,3,3,6373587,599,2.46073379024186e-07,4.19091875718463e-09,58.7158552291988
"39","lago",29,23,5591472,548,3,3,6373587,599,2.34977231959435e-07,4.19091875718463e-09,56.0681906697919
"40","lolita",42,27,5591472,548,6,3,6373587,599,3.92934148998833e-07,7.33410782507309e-09,53.5762710844679
"41","shitholes",28,22,5591472,548,3,3,6373587,599,2.17680296829088e-07,4.19091875718463e-09,51.9409488565989
"42","left's",42,27,5591472,548,5,4,6373587,599,3.92934148998833e-07,7.85797266972117e-09,50.0045196788367
"43","t_d",236,110,5591472,548,34,18,6373587,599,8.58548061271786e-06,1.74185060845486e-07,49.2894199482111
"44","soros",94,49,5591472,548,10,10,6373587,599,1.55019701639905e-06,3.16938231012087e-08,48.911644753262
"45","hoaxes",26,22,5591472,548,3,3,6373587,599,2.02667862565013e-07,4.19091875718463e-09,48.3588144526955
"46","libya",47,27,5591472,548,5,5,6373587,599,4.38624166324279e-07,9.4295672036654e-09,46.515832259383
"47","quarantine",60,43,5591472,548,8,7,6373587,599,8.75942903582116e-07,1.88591344073308e-08,46.4466122709017
"48","clump",31,22,5591472,548,4,3,6373587,599,2.401989482252e-07,5.23864844648078e-09,45.8513203699632
"49","infringed",49,34,5591472,548,6,6,6373587,599,5.71125216568071e-07,1.28346886938779e-08,44.4985640236444
"50","globalism",49,33,5591472,548,7,5,6373587,599,5.54807353237555e-07,1.25727562715539e-08,44.1277426567807
"51","victimhood",42,22,5591472,548,6,3,6373587,599,3.22767336677613e-07,7.33410782507309e-09,44.0090798193843
"52","clintons",114,71,5591472,548,15,14,6373587,599,2.7022381675335e-06,6.28637813577694e-08,42.9856128468405
"53","muh",285,127,5591472,548,36,28,6373587,599,1.19472868160708e-05,2.81053489153694e-07,42.5089432337112
"54","kavanaugh",81,48,5591472,548,11,9,6373587,599,1.31130349724029e-06,3.14318906788847e-08,41.7188870576341
"55","somalia",45,34,5591472,548,6,6,6373587,599,5.25435199242626e-07,1.28346886938779e-08,40.9386789017528
"56","obamas",33,23,5591472,548,4,4,6373587,599,2.66307529554026e-07,6.54831055810098e-09,40.6681276324891
"57","indicted",44,28,5591472,548,6,5,6373587,599,4.25896232926476e-07,1.10011617376096e-08,38.7137507005706
"58","illegals",198,101,5591472,548,29,21,6373587,599,6.62439979765641e-06,1.72875398733866e-07,38.3189270779608
"59","faggot",117,56,5591472,548,16,12,6373587,599,2.19507897522106e-06,5.78870653336126e-08,37.9200251830086
"60","ccw",63,22,5591472,548,6,6,6373587,599,4.80397896450401e-07,1.28346886938779e-08,37.4296492816026
"61","socialists",164,80,5591472,548,23,18,6373587,599,4.36176486824701e-06,1.19441184579762e-07,36.5180978704566
"62","tariff",41,23,5591472,548,6,4,6373587,599,3.28968124743209e-07,9.16763478134137e-09,35.8836420286668
"63","sjw",192,103,5591472,548,34,19,6373587,599,6.55064305540247e-06,1.83352695626827e-07,35.7270070833036
"64","commies",73,49,5591472,548,12,9,6373587,599,1.20752188645821e-06,3.40512149021251e-08,35.4619325603812
"65","comey",113,43,5591472,548,19,8,6373587,599,1.6370080493174e-06,4.7147836018327e-08,34.7207462221823
"66","allah",147,31,5591472,548,16,9,6373587,599,1.54562801466651e-06,4.45285117950866e-08,34.7109739885143
"67","landslide",39,32,5591472,548,6,6,6373587,599,4.30791591925631e-07,1.28346886938779e-08,33.5646311492632
